Time KB_Written
[2023-05-02 20:55:03] 0
[2023-05-02 20:55:04] 196
[2023-05-02 20:55:05] 0
[2023-05-02 20:55:06] 88
[2023-05-02 20:55:07] 0
[2023-05-02 20:55:08] 0
[2023-05-02 20:55:09] 60
[2023-05-02 20:55:10] 252
[2023-05-02 20:55:11] 0
[2023-05-02 20:55:12] 172
[2023-05-02 20:55:13] 0
[2023-05-02 20:55:14] 72
[2023-05-02 20:55:15] 0
[2023-05-02 20:55:16] 0
[2023-05-02 20:55:17] 0
[2023-05-02 20:55:18] 340
[2023-05-02 20:55:19] 0
[2023-05-02 20:55:20] 0
[2023-05-02 20:55:21] 436
[2023-05-02 20:55:22] 0
[2023-05-02 20:55:23] 52
[2023-05-02 20:55:24] 0
[2023-05-02 20:55:25] 39168
[2023-05-02 20:55:26] 179508
[2023-05-02 20:55:27] 0
[2023-05-02 20:55:28] 0
[2023-05-02 20:55:29] 0
[2023-05-02 20:55:30] 220408
[2023-05-02 20:55:31] 65968
[2023-05-02 20:55:32] 65972
[2023-05-02 20:55:33] 65968
[2023-05-02 20:55:34] 270776
[2023-05-02 20:55:35] 81672
[2023-05-02 20:55:36] 204904
[2023-05-02 20:55:37] 367308
[2023-05-02 20:55:38] 370688
[2023-05-02 20:55:39] 360268
