Time KB_Written
[2023-05-02 20:33:33] 8
[2023-05-02 20:33:34] 0
[2023-05-02 20:33:35] 0
[2023-05-02 20:33:36] 0
[2023-05-02 20:33:37] 0
[2023-05-02 20:33:38] 148
[2023-05-02 20:33:39] 0
[2023-05-02 20:33:40] 0
[2023-05-02 20:33:41] 0
[2023-05-02 20:33:42] 0
[2023-05-02 20:33:43] 68
[2023-05-02 20:33:44] 156
[2023-05-02 20:33:45] 0
[2023-05-02 20:33:46] 0
[2023-05-02 20:33:47] 596
[2023-05-02 20:33:48] 0
[2023-05-02 20:33:49] 0
[2023-05-02 20:33:50] 0
[2023-05-02 20:33:51] 52
[2023-05-02 20:33:52] 308
[2023-05-02 20:33:53] 0
[2023-05-02 20:33:54] 0
[2023-05-02 20:33:55] 0
[2023-05-02 20:33:56] 0
[2023-05-02 20:33:57] 40
[2023-05-02 20:33:58] 0
[2023-05-02 20:33:59] 0
[2023-05-02 20:34:00] 0
[2023-05-02 20:34:01] 0
[2023-05-02 20:34:02] 216188
[2023-05-02 20:34:03] 0
[2023-05-02 20:34:04] 0
[2023-05-02 20:34:05] 12
[2023-05-02 20:34:06] 0
[2023-05-02 20:34:07] 60
[2023-05-02 20:34:08] 353540
[2023-05-02 20:34:09] 367360
[2023-05-02 20:34:10] 368128
[2023-05-02 20:34:11] 357888
[2023-05-02 20:34:12] 339892
[2023-05-02 20:34:13] 216240
[2023-05-02 20:34:14] 131932
[2023-05-02 20:34:15] 121516
[2023-05-02 20:34:16] 88408
[2023-05-02 20:34:17] 89676
[2023-05-02 20:34:18] 0
[2023-05-02 20:34:19] 0
[2023-05-02 20:34:20] 0
[2023-05-02 20:34:21] 0
[2023-05-02 20:34:22] 64
[2023-05-02 20:34:23] 68244
[2023-05-02 20:34:24] 148164
[2023-05-02 20:34:25] 0
[2023-05-02 20:34:26] 0
[2023-05-02 20:34:27] 0
[2023-05-02 20:34:28] 0
[2023-05-02 20:34:29] 64
[2023-05-02 20:34:30] 0
[2023-05-02 20:34:31] 0
[2023-05-02 20:34:32] 0
[2023-05-02 20:34:33] 4
[2023-05-02 20:34:34] 216376
[2023-05-02 20:34:35] 65980
[2023-05-02 20:34:36] 131936
[2023-05-02 20:34:37] 95668
[2023-05-02 20:34:38] 118636
[2023-05-02 20:34:39] 115572
[2023-05-02 20:34:40] 91824
[2023-05-02 20:34:41] 106084
