Time KB_Written
[2023-05-02 20:48:05] 0
[2023-05-02 20:48:06] 192
[2023-05-02 20:48:07] 44
[2023-05-02 20:48:08] 0
[2023-05-02 20:48:09] 0
[2023-05-02 20:48:10] 0
[2023-05-02 20:48:11] 0
[2023-05-02 20:48:12] 188980
[2023-05-02 20:48:13] 0
[2023-05-02 20:48:14] 0
[2023-05-02 20:48:15] 0
[2023-05-02 20:48:16] 0
[2023-05-02 20:48:17] 7568
[2023-05-02 20:48:18] 385776
[2023-05-02 20:48:19] 379568
[2023-05-02 20:48:20] 389180
[2023-05-02 20:48:21] 143080
[2023-05-02 20:48:22] 0
[2023-05-02 20:48:23] 0
[2023-05-02 20:48:24] 0
[2023-05-02 20:48:25] 68
[2023-05-02 20:48:26] 0
[2023-05-02 20:48:27] 0
[2023-05-02 20:48:28] 218212
[2023-05-02 20:48:29] 0
[2023-05-02 20:48:30] 0
[2023-05-02 20:48:31] 0
[2023-05-02 20:48:32] 217976
[2023-05-02 20:48:33] 65968
[2023-05-02 20:48:34] 65968
[2023-05-02 20:48:35] 285068
[2023-05-02 20:48:36] 65976
[2023-05-02 20:48:37] 65964
[2023-05-02 20:48:38] 65972
[2023-05-02 20:48:39] 252452
[2023-05-02 20:48:40] 70640
[2023-05-02 20:48:41] 65972
