Time KB_Written
[2023-05-02 20:38:37] 0
[2023-05-02 20:38:38] 192
[2023-05-02 20:38:39] 44
[2023-05-02 20:38:40] 0
[2023-05-02 20:38:41] 0
[2023-05-02 20:38:42] 200
[2023-05-02 20:38:43] 0
[2023-05-02 20:38:44] 112
[2023-05-02 20:38:45] 0
[2023-05-02 20:38:46] 0
[2023-05-02 20:38:47] 0
[2023-05-02 20:38:48] 0
[2023-05-02 20:38:49] 0
[2023-05-02 20:38:50] 208
[2023-05-02 20:38:51] 0
[2023-05-02 20:38:52] 568
[2023-05-02 20:38:53] 0
[2023-05-02 20:38:54] 0
[2023-05-02 20:38:55] 52
[2023-05-02 20:38:56] 0
[2023-05-02 20:38:57] 129824
[2023-05-02 20:38:58] 58720
[2023-05-02 20:38:59] 218876
[2023-05-02 20:39:00] 0
[2023-05-02 20:39:01] 0
[2023-05-02 20:39:02] 0
[2023-05-02 20:39:03] 265600
[2023-05-02 20:39:04] 371768
[2023-05-02 20:39:05] 360604
[2023-05-02 20:39:06] 366540
[2023-05-02 20:39:07] 366848
[2023-05-02 20:39:08] 257156
[2023-05-02 20:39:09] 242856
[2023-05-02 20:39:10] 89480
[2023-05-02 20:39:11] 88540
[2023-05-02 20:39:12] 169296
[2023-05-02 20:39:13] 174724
[2023-05-02 20:39:14] 0
