Time KB_Written
[2023-05-02 20:43:14] 0
[2023-05-02 20:43:15] 8
[2023-05-02 20:43:16] 248
[2023-05-02 20:43:17] 0
[2023-05-02 20:43:18] 0
[2023-05-02 20:43:19] 0
[2023-05-02 20:43:20] 0
[2023-05-02 20:43:21] 112
[2023-05-02 20:43:22] 0
[2023-05-02 20:43:23] 0
[2023-05-02 20:43:24] 0
[2023-05-02 20:43:25] 0
[2023-05-02 20:43:26] 156
[2023-05-02 20:43:27] 60
[2023-05-02 20:43:28] 0
[2023-05-02 20:43:29] 316
[2023-05-02 20:43:30] 0
[2023-05-02 20:43:31] 0
[2023-05-02 20:43:32] 135512
[2023-05-02 20:43:33] 45056
[2023-05-02 20:43:34] 52
[2023-05-02 20:43:35] 0
[2023-05-02 20:43:36] 0
[2023-05-02 20:43:37] 217084
[2023-05-02 20:43:38] 264948
[2023-05-02 20:43:39] 368732
[2023-05-02 20:43:40] 367360
[2023-05-02 20:43:41] 354816
[2023-05-02 20:43:42] 362296
[2023-05-02 20:43:43] 171952
[2023-05-02 20:43:44] 65968
[2023-05-02 20:43:45] 283876
[2023-05-02 20:43:46] 65972
[2023-05-02 20:43:47] 65972
[2023-05-02 20:43:48] 103652
[2023-05-02 20:43:49] 219584
[2023-05-02 20:43:50] 66012
