Time KB_Written
[2023-05-02 20:32:36] 8
[2023-05-02 20:32:37] 0
[2023-05-02 20:32:38] 0
[2023-05-02 20:32:39] 0
[2023-05-02 20:32:40] 0
[2023-05-02 20:32:41] 28928
[2023-05-02 20:32:42] 156000
[2023-05-02 20:32:43] 0
[2023-05-02 20:32:44] 0
[2023-05-02 20:32:45] 0
[2023-05-02 20:32:46] 76
[2023-05-02 20:32:47] 158372
[2023-05-02 20:32:48] 367100
[2023-05-02 20:32:49] 368640
[2023-05-02 20:32:50] 360560
[2023-05-02 20:32:51] 54544
[2023-05-02 20:32:52] 0
[2023-05-02 20:32:53] 52
[2023-05-02 20:32:54] 0
[2023-05-02 20:32:55] 0
[2023-05-02 20:32:56] 48
[2023-05-02 20:32:57] 0
[2023-05-02 20:32:58] 218364
[2023-05-02 20:32:59] 0
[2023-05-02 20:33:00] 0
[2023-05-02 20:33:01] 0
[2023-05-02 20:33:02] 18432
[2023-05-02 20:33:03] 198724
[2023-05-02 20:33:04] 131940
[2023-05-02 20:33:05] 106920
[2023-05-02 20:33:06] 90976
[2023-05-02 20:33:07] 213868
[2023-05-02 20:33:08] 109848
[2023-05-02 20:33:09] 0
[2023-05-02 20:33:10] 0
[2023-05-02 20:33:11] 0
[2023-05-02 20:33:12] 218820
[2023-05-02 20:33:13] 131952
[2023-05-02 20:33:14] 65972
[2023-05-02 20:33:15] 0
