Time KB_Written
[2023-05-02 21:36:48] 199684
[2023-05-02 21:36:49] 383992
[2023-05-02 21:36:50] 376068
[2023-05-02 21:36:51] 386304
[2023-05-02 21:36:52] 172972
[2023-05-02 21:36:53] 388112
[2023-05-02 21:36:54] 332516
[2023-05-02 21:36:55] 190976
[2023-05-02 21:36:56] 385024
[2023-05-02 21:36:57] 170640
[2023-05-02 21:36:58] 0
[2023-05-02 21:36:59] 0
[2023-05-02 21:37:00] 0
[2023-05-02 21:37:01] 0
[2023-05-02 21:37:02] 140
[2023-05-02 21:37:03] 0
[2023-05-02 21:37:04] 0
[2023-05-02 21:37:05] 0
[2023-05-02 21:37:06] 0
[2023-05-02 21:37:07] 36
[2023-05-02 21:37:08] 0
[2023-05-02 21:37:09] 0
[2023-05-02 21:37:10] 0
[2023-05-02 21:37:11] 0
[2023-05-02 21:37:12] 32
[2023-05-02 21:37:13] 16
[2023-05-02 21:37:14] 0
[2023-05-02 21:37:15] 0
[2023-05-02 21:37:16] 0
[2023-05-02 21:37:17] 260
[2023-05-02 21:37:18] 0
[2023-05-02 21:37:19] 12
[2023-05-02 21:37:20] 0
[2023-05-02 21:37:21] 0
[2023-05-02 21:37:22] 12
[2023-05-02 21:37:23] 236
[2023-05-02 21:37:24] 0
[2023-05-02 21:37:25] 20
[2023-05-02 21:37:26] 0
[2023-05-02 21:37:27] 12
[2023-05-02 21:37:28] 288284
[2023-05-02 21:37:29] 386212
[2023-05-02 21:37:30] 378772
[2023-05-02 21:37:31] 377256
[2023-05-02 21:37:32] 44960
[2023-05-02 21:37:33] 0
[2023-05-02 21:37:34] 0
[2023-05-02 21:37:35] 0
[2023-05-02 21:37:36] 40
[2023-05-02 21:37:37] 44
[2023-05-02 21:37:38] 0
[2023-05-02 21:37:39] 0
[2023-05-02 21:37:40] 0
[2023-05-02 21:37:41] 0
[2023-05-02 21:37:42] 40
[2023-05-02 21:37:43] 0
[2023-05-02 21:37:44] 0
[2023-05-02 21:37:45] 0
[2023-05-02 21:37:46] 0
[2023-05-02 21:37:47] 12
[2023-05-02 21:37:48] 12
[2023-05-02 21:37:49] 0
[2023-05-02 21:37:50] 0
[2023-05-02 21:37:51] 0
[2023-05-02 21:37:52] 12
[2023-05-02 21:37:53] 0
[2023-05-02 21:37:54] 12
[2023-05-02 21:37:55] 0
[2023-05-02 21:37:56] 0
[2023-05-02 21:37:57] 84
[2023-05-02 21:37:58] 0
[2023-05-02 21:37:59] 0
[2023-05-02 21:38:00] 12
[2023-05-02 21:38:01] 4
[2023-05-02 21:38:02] 12
[2023-05-02 21:38:03] 0
[2023-05-02 21:38:04] 0
[2023-05-02 21:38:05] 0
[2023-05-02 21:38:06] 36
[2023-05-02 21:38:07] 20
[2023-05-02 21:38:08] 0
