Time, KB_Written
[2023-05-02 21:48:46] 337207880
[2023-05-02 21:48:47] 20
[2023-05-02 21:48:48] 0
[2023-05-02 21:48:49] 0
[2023-05-02 21:48:50] 0
[2023-05-02 21:48:51] 0
[2023-05-02 21:48:52] 152
[2023-05-02 21:48:53] 0
[2023-05-02 21:48:54] 229688
[2023-05-02 21:48:55] 278840
[2023-05-02 21:48:56] 295380
[2023-05-02 21:48:57] 281524
[2023-05-02 21:48:58] 292820
[2023-05-02 21:48:59] 114848
[2023-05-02 21:49:00] 0
[2023-05-02 21:49:01] 0
[2023-05-02 21:49:02] 124
[2023-05-02 21:49:03] 0
[2023-05-02 21:49:04] 212
[2023-05-02 21:49:05] 0
[2023-05-02 21:49:06] 0
[2023-05-02 21:49:07] 32
[2023-05-02 21:49:08] 16
[2023-05-02 21:49:09] 300
[2023-05-02 21:49:10] 0
