Time, KB_Written
[2023-05-02 21:47:13] 330645984
[2023-05-02 21:47:14] 171056
[2023-05-02 21:47:15] 248404
[2023-05-02 21:47:16] 273800
[2023-05-02 21:47:17] 281480
[2023-05-02 21:47:18] 286148
[2023-05-02 21:47:19] 232292
[2023-05-02 21:47:20] 48
[2023-05-02 21:47:21] 0
[2023-05-02 21:47:22] 84
[2023-05-02 21:47:23] 0
[2023-05-02 21:47:24] 0
[2023-05-02 21:47:25] 32
[2023-05-02 21:47:26] 0
[2023-05-02 21:47:27] 0
[2023-05-02 21:47:28] 16
[2023-05-02 21:47:29] 0
[2023-05-02 21:47:30] 12
[2023-05-02 21:47:31] 0
[2023-05-02 21:47:32] 4
[2023-05-02 21:47:33] 0
[2023-05-02 21:47:34] 12
[2023-05-02 21:47:35] 12
[2023-05-02 21:47:36] 0
[2023-05-02 21:47:37] 268
[2023-05-02 21:47:38] 0
[2023-05-02 21:47:39] 0
[2023-05-02 21:47:40] 24
[2023-05-02 21:47:41] 0
[2023-05-02 21:47:42] 0
[2023-05-02 21:47:43] 360692
[2023-05-02 21:47:44] 387244
[2023-05-02 21:47:45] 377176
[2023-05-02 21:47:46] 368200
[2023-05-02 21:47:47] 0
[2023-05-02 21:47:48] 0
[2023-05-02 21:47:49] 0
[2023-05-02 21:47:50] 0
[2023-05-02 21:47:51] 136
[2023-05-02 21:47:52] 374400
[2023-05-02 21:47:53] 374672
[2023-05-02 21:47:54] 383752
