Time,Read/s,Write/s,util%,cpu%
2023-05-01 23:40:45,0.00 , 0.00 , 0.00,54.67
2023-05-01 23:40:47,0.00 , 0.00 , 0.00,48.3
2023-05-01 23:40:49,0.00 , 0.00 , 0.00,52.7
2023-05-01 23:40:51,0.00 , 9.00 , 0.00,50.03
2023-05-01 23:40:53,0.00 , 0.00 , 0.00,52.16
2023-05-01 23:40:55,0.00 , 0.00 , 0.00,53.03
2023-05-01 23:40:57,0.00 , 0.00 , 0.00,54.89
2023-05-01 23:40:59,0.00 , 0.00 , 0.00,55.31
2023-05-01 23:41:01,0.00 , 9.00 , 0.00,50.7
2023-05-01 23:41:03,0.00 , 0.00 , 0.00,46.71
2023-05-01 23:41:05,0.00 , 0.00 , 0.00,52.39
2023-05-01 23:41:07,0.00 , 0.00 , 0.00,58.66
2023-05-01 23:41:09,0.00 , 0.00 , 0.00,54.45
2023-05-01 23:41:11,0.00 , 10.00 , 0.00,53.29
2023-05-01 23:41:13,0.00 , 2575.00 , 74.80,58.16
2023-05-01 23:41:15,0.00 , 0.00 , 0.00,59.13
2023-05-01 23:41:17,0.00 , 0.00 , 0.00,53.59
2023-05-01 23:41:19,0.00 , 0.00 , 0.00,51.21
2023-05-01 23:41:21,0.00 , 9.00 , 0.40,55.79
2023-05-01 23:41:23,0.00 , 0.00 , 0.00,54.06
2023-05-01 23:41:25,0.00 , 0.00 , 0.00,50.16
2023-05-01 23:41:27,0.00 , 0.00 , 0.00,50.13
2023-05-01 23:41:29,0.00 , 0.00 , 0.00,53.06
2023-05-01 23:41:31,0.00 , 9.00 , 0.00,52.9
2023-05-01 23:41:33,0.00 , 0.00 , 0.00,50.86
2023-05-01 23:41:35,0.00 , 0.00 , 0.00,52.9
2023-05-01 23:41:37,0.00 , 0.00 , 0.00,58.06
2023-05-01 23:41:39,0.00 , 34.00 , 0.00,50.29
2023-05-01 23:41:41,0.00 , 10.00 , 0.00,50.16
2023-05-01 23:41:43,0.00 , 0.00 , 0.00,51.47
2023-05-01 23:41:45,0.00 , 4303.00 , 61.20,53.5
2023-05-01 23:41:47,0.00 , 0.00 , 0.00,49.97
2023-05-01 23:41:49,0.00 , 0.00 , 0.00,49.36
2023-05-01 23:41:51,0.00 , 9.00 , 0.00,50.38
2023-05-01 23:41:53,0.00 , 0.00 , 0.00,60.15
2023-05-01 23:41:55,0.00 , 0.00 , 0.00,48.66
2023-05-01 23:41:57,0.00 , 0.00 , 0.00,54.36
2023-05-01 23:41:59,0.00 , 0.00 , 0.00,53.03
2023-05-01 23:42:01,0.00 , 9.00 , 0.00,57.07
2023-05-01 23:42:03,0.00 , 0.00 , 0.00,53.37
2023-05-01 23:42:05,0.00 , 0.00 , 0.00,53.39
2023-05-01 23:42:07,0.00 , 0.00 , 0.00,55.03
2023-05-01 23:42:09,0.00 , 0.00 , 0.00,53.51
2023-05-01 23:42:11,0.00 , 35.00 , 0.00,58.91
2023-05-01 23:42:13,0.00 , 0.00 , 0.00,51.66
2023-05-01 23:42:15,0.00 , 0.00 , 0.00,54.52
2023-05-01 23:42:17,0.00 , 5884.00 , 70.40,52.85
2023-05-01 23:42:19,0.00 , 0.00 , 0.00,52.66
2023-05-01 23:42:21,0.00 , 9.00 , 0.00,53.29
2023-05-01 23:42:23,0.00 , 0.00 , 0.00,53.02
2023-05-01 23:42:25,0.00 , 0.00 , 0.00,46.49
2023-05-01 23:42:27,0.00 , 0.00 , 0.00,57.69
2023-05-01 23:42:29,0.00 , 0.00 , 0.00,49.3
2023-05-01 23:42:31,0.00 , 9.00 , 0.00,52.93
2023-05-01 23:42:34,0.00 , 0.00 , 0.00,51.2
2023-05-01 23:42:36,0.00 , 0.00 , 0.00,52.72
2023-05-01 23:42:38,0.00 , 0.00 , 0.00,49.84
2023-05-01 23:42:40,0.00 , 0.00 , 0.00,52.14
2023-05-01 23:42:42,0.00 , 10.00 , 0.40,50.95
2023-05-01 23:42:44,0.00 , 30.00 , 0.00,56.14
2023-05-01 23:42:46,0.00 , 0.00 , 0.00,53.66
2023-05-01 23:42:48,0.00 , 0.00 , 0.00,53.07
2023-05-01 23:42:50,0.00 , 4962.00 , 51.20,53.89
2023-05-01 23:42:52,0.00 , 9.00 , 0.00,54.69
2023-05-01 23:42:54,0.00 , 0.00 , 0.00,51.59
2023-05-01 23:42:56,0.00 , 0.00 , 0.00,47.56
2023-05-01 23:42:58,0.00 , 0.00 , 0.00,55.9
2023-05-01 23:43:00,0.00 , 27.00 , 0.00,54.7
2023-05-01 23:43:02,0.00 , 9.00 , 0.00,52.05
2023-05-01 23:43:04,0.00 , 0.00 , 0.00,50.95
2023-05-01 23:43:06,0.00 , 0.00 , 0.00,53.87
2023-05-01 23:43:08,0.00 , 0.00 , 0.00,52.02
2023-05-01 23:43:10,0.00 , 0.00 , 0.00,51.79
2023-05-01 23:43:12,0.00 , 10.00 , 0.00,54.83
2023-05-01 23:43:14,0.00 , 0.00 , 0.00,50.16
2023-05-01 23:43:16,0.00 , 9.00 , 0.40,50.38
2023-05-01 23:43:18,0.00 , 0.00 , 0.00,52.8
2023-05-01 23:43:20,0.00 , 623.00 , 51.20,56.69
2023-05-01 23:43:22,0.00 , 0.00 , 0.00,58.18
2023-05-01 23:43:24,0.00 , 0.00 , 0.00,55.5
2023-05-01 23:43:26,0.00 , 12.00 , 0.00,47.89
2023-05-01 23:43:28,0.00 , 0.00 , 0.00,50.58
2023-05-01 23:43:30,0.00 , 0.00 , 0.00,51.97
2023-05-01 23:43:32,0.00 , 0.00 , 0.00,51.76
2023-05-01 23:43:34,0.00 , 0.00 , 0.00,62.2
2023-05-01 23:43:36,0.00 , 9.00 , 0.00,49.17
2023-05-01 23:43:38,0.00 , 0.00 , 0.00,56.71
2023-05-01 23:43:40,0.00 , 0.00 , 0.00,54.14
2023-05-01 23:43:42,0.00 , 0.00 , 0.00,50.35
2023-05-01 23:43:44,0.00 , 0.00 , 0.00,51.85
2023-05-01 23:43:46,0.00 , 9.00 , 0.00,53.77
2023-05-01 23:43:48,0.00 , 0.00 , 0.00,53.08
2023-05-01 23:43:50,0.00 , 0.00 , 0.00,51.24
2023-05-01 23:43:52,0.00 , 849.00 , 79.60,57.83
2023-05-01 23:43:54,0.00 , 0.00 , 0.00,57.51
2023-05-01 23:43:56,0.00 , 10.00 , 0.00,49.27
2023-05-01 23:43:58,0.00 , 5.00 , 0.00,50.06
2023-05-01 23:44:00,0.00 , 0.00 , 0.00,53.69
2023-05-01 23:44:02,0.00 , 0.00 , 0.00,52.3
2023-05-01 23:44:04,0.00 , 0.00 , 0.00,52.65
2023-05-01 23:44:06,0.00 , 9.00 , 0.00,52.9
2023-05-01 23:44:08,0.00 , 11.00 , 0.00,52.32
2023-05-01 23:44:10,0.00 , 0.00 , 0.00,58.44
2023-05-01 23:44:12,0.00 , 0.00 , 0.00,54.15
2023-05-01 23:44:14,0.00 , 0.00 , 0.00,55.13
2023-05-01 23:44:16,0.00 , 9.00 , 0.40,52.42
