Time,Read/s,Write/s,util%
2023-05-01 23:41:11,0.00 , 10.00 , 0.00
2023-05-01 23:41:13,0.00 , 2575.00 , 74.80
2023-05-01 23:41:15,0.00 , 0.00 , 0.00
2023-05-01 23:41:17,0.00 , 0.00 , 0.00
2023-05-01 23:41:19,0.00 , 0.00 , 0.00
2023-05-01 23:41:21,0.00 , 9.00 , 0.40
2023-05-01 23:41:23,0.00 , 0.00 , 0.00
2023-05-01 23:41:25,0.00 , 0.00 , 0.00
2023-05-01 23:41:27,0.00 , 0.00 , 0.00
2023-05-01 23:41:29,0.00 , 0.00 , 0.00
2023-05-01 23:41:31,0.00 , 9.00 , 0.00
2023-05-01 23:41:33,0.00 , 0.00 , 0.00
2023-05-01 23:41:35,0.00 , 0.00 , 0.00
2023-05-01 23:41:37,0.00 , 0.00 , 0.00
2023-05-01 23:41:39,0.00 , 34.00 , 0.00
2023-05-01 23:41:41,0.00 , 10.00 , 0.00
2023-05-01 23:41:43,0.00 , 0.00 , 0.00
2023-05-01 23:41:45,0.00 , 4303.00 , 61.20
2023-05-01 23:41:47,0.00 , 0.00 , 0.00
2023-05-01 23:41:49,0.00 , 0.00 , 0.00
2023-05-01 23:41:51,0.00 , 9.00 , 0.00
2023-05-01 23:41:53,0.00 , 0.00 , 0.00
2023-05-01 23:41:55,0.00 , 0.00 , 0.00
2023-05-01 23:41:57,0.00 , 0.00 , 0.00
2023-05-01 23:41:59,0.00 , 0.00 , 0.00
2023-05-01 23:42:01,0.00 , 9.00 , 0.00
2023-05-01 23:42:03,0.00 , 0.00 , 0.00
2023-05-01 23:42:05,0.00 , 0.00 , 0.00
2023-05-01 23:42:07,0.00 , 0.00 , 0.00
2023-05-01 23:42:09,0.00 , 0.00 , 0.00
2023-05-01 23:42:11,0.00 , 35.00 , 0.00
2023-05-01 23:42:13,0.00 , 0.00 , 0.00
2023-05-01 23:42:15,0.00 , 0.00 , 0.00
2023-05-01 23:42:17,0.00 , 5884.00 , 70.40
2023-05-01 23:42:19,0.00 , 0.00 , 0.00
2023-05-01 23:42:21,0.00 , 9.00 , 0.00
2023-05-01 23:42:23,0.00 , 0.00 , 0.00
2023-05-01 23:42:25,0.00 , 0.00 , 0.00
2023-05-01 23:42:27,0.00 , 0.00 , 0.00
2023-05-01 23:42:29,0.00 , 0.00 , 0.00
2023-05-01 23:42:31,0.00 , 9.00 , 0.00
2023-05-01 23:42:34,0.00 , 0.00 , 0.00
2023-05-01 23:42:36,0.00 , 0.00 , 0.00
2023-05-01 23:42:38,0.00 , 0.00 , 0.00
2023-05-01 23:42:40,0.00 , 0.00 , 0.00
2023-05-01 23:42:42,0.00 , 10.00 , 0.40
2023-05-01 23:42:44,0.00 , 30.00 , 0.00
2023-05-01 23:42:46,0.00 , 0.00 , 0.00
2023-05-01 23:42:48,0.00 , 0.00 , 0.00
2023-05-01 23:42:50,0.00 , 4962.00 , 51.20
2023-05-01 23:42:52,0.00 , 9.00 , 0.00
2023-05-01 23:42:54,0.00 , 0.00 , 0.00
2023-05-01 23:42:56,0.00 , 0.00 , 0.00
2023-05-01 23:42:58,0.00 , 0.00 , 0.00
2023-05-01 23:43:00,0.00 , 27.00 , 0.00
2023-05-01 23:43:02,0.00 , 9.00 , 0.00
2023-05-01 23:43:04,0.00 , 0.00 , 0.00
2023-05-01 23:43:06,0.00 , 0.00 , 0.00
2023-05-01 23:43:08,0.00 , 0.00 , 0.00
2023-05-01 23:43:10,0.00 , 0.00 , 0.00
2023-05-01 23:43:12,0.00 , 10.00 , 0.00
2023-05-01 23:43:14,0.00 , 0.00 , 0.00
2023-05-01 23:43:16,0.00 , 9.00 , 0.40
2023-05-01 23:43:18,0.00 , 0.00 , 0.00
2023-05-01 23:43:20,0.00 , 623.00 , 51.20
2023-05-01 23:43:22,0.00 , 0.00 , 0.00
2023-05-01 23:43:24,0.00 , 0.00 , 0.00
2023-05-01 23:43:26,0.00 , 12.00 , 0.00
2023-05-01 23:43:28,0.00 , 0.00 , 0.00
2023-05-01 23:43:30,0.00 , 0.00 , 0.00
2023-05-01 23:43:32,0.00 , 0.00 , 0.00
2023-05-01 23:43:34,0.00 , 0.00 , 0.00
2023-05-01 23:43:36,0.00 , 9.00 , 0.00
2023-05-01 23:43:38,0.00 , 0.00 , 0.00
2023-05-01 23:43:40,0.00 , 0.00 , 0.00
2023-05-01 23:43:42,0.00 , 0.00 , 0.00
2023-05-01 23:43:44,0.00 , 0.00 , 0.00
2023-05-01 23:43:46,0.00 , 9.00 , 0.00
2023-05-01 23:43:48,0.00 , 0.00 , 0.00
2023-05-01 23:43:50,0.00 , 0.00 , 0.00
2023-05-01 23:43:52,0.00 , 849.00 , 79.60
2023-05-01 23:43:54,0.00 , 0.00 , 0.00
2023-05-01 23:43:56,0.00 , 10.00 , 0.00
2023-05-01 23:43:58,0.00 , 5.00 , 0.00
2023-05-01 23:44:00,0.00 , 0.00 , 0.00
2023-05-01 23:44:02,0.00 , 0.00 , 0.00
2023-05-01 23:44:04,0.00 , 0.00 , 0.00
2023-05-01 23:44:06,0.00 , 9.00 , 0.00
2023-05-01 23:44:08,0.00 , 11.00 , 0.00
2023-05-01 23:44:10,0.00 , 0.00 , 0.00
2023-05-01 23:44:12,0.00 , 0.00 , 0.00
2023-05-01 23:44:14,0.00 , 0.00 , 0.00
2023-05-01 23:44:16,0.00 , 9.00 , 0.40
2023-05-01 23:44:18,0.00 , 0.00 , 0.00
2023-05-01 23:44:20,0.00 , 0.00 , 0.00
2023-05-01 23:44:22,0.00 , 0.00 , 0.00
2023-05-01 23:44:24,0.00 , 844.00 , 80.00
2023-05-01 23:44:26,0.00 , 10.00 , 0.00
2023-05-01 23:44:28,0.00 , 0.00 , 0.00
2023-05-01 23:44:30,0.00 , 0.00 , 0.00
2023-05-01 23:44:32,0.00 , 0.00 , 0.00
2023-05-01 23:44:34,0.00 , 0.00 , 0.00
2023-05-01 23:44:36,0.00 , 9.00 , 0.00
2023-05-01 23:44:38,0.00 , 0.00 , 0.00
2023-05-01 23:44:40,0.00 , 0.00 , 0.00
2023-05-01 23:44:42,0.00 , 0.00 , 0.00
2023-05-01 23:44:44,0.00 , 0.00 , 0.00
2023-05-01 23:44:46,0.00 , 10.00 , 0.00
2023-05-01 23:44:48,0.00 , 0.00 , 0.00
2023-05-01 23:44:50,0.00 , 0.00 , 0.00
2023-05-01 23:44:52,0.00 , 0.00 , 0.00
2023-05-01 23:44:54,0.00 , 0.00 , 0.00
2023-05-01 23:44:56,0.00 , 660.00 , 76.40
2023-05-01 23:44:58,0.00 , 0.00 , 0.00
2023-05-01 23:45:00,0.00 , 0.00 , 0.00
2023-05-01 23:45:02,0.00 , 1.00 , 0.00
2023-05-01 23:45:04,0.00 , 0.00 , 0.00
2023-05-01 23:45:06,0.00 , 9.00 , 0.00
2023-05-01 23:45:08,0.00 , 0.00 , 0.00
2023-05-01 23:45:10,0.00 , 0.00 , 0.00
2023-05-01 23:45:12,0.00 , 0.00 , 0.00
2023-05-01 23:45:14,0.00 , 0.00 , 0.00
2023-05-01 23:45:16,0.00 , 9.00 , 0.00
2023-05-01 23:45:18,0.00 , 11.00 , 0.00
2023-05-01 23:45:20,0.00 , 0.00 , 0.00
2023-05-01 23:45:22,0.00 , 0.00 , 0.00
2023-05-01 23:45:24,0.00 , 0.00 , 0.00
2023-05-01 23:45:27,0.00 , 10.00 , 0.00
2023-05-01 23:45:29,0.00 , 694.00 , 55.20
2023-05-01 23:45:31,0.00 , 0.00 , 0.00
2023-05-01 23:45:33,0.00 , 0.00 , 0.00
2023-05-01 23:45:35,0.00 , 2.00 , 0.00
2023-05-01 23:45:37,0.00 , 9.00 , 0.00
2023-05-01 23:45:39,0.00 , 0.00 , 0.00
2023-05-01 23:45:41,0.00 , 224.00 , 18.40
2023-05-01 23:45:43,0.00 , 20.00 , 0.80
2023-05-01 23:45:45,0.00 , 0.00 , 0.00
2023-05-01 23:45:47,0.00 , 7.00 , 0.00
2023-05-01 23:45:49,0.00 , 0.00 , 0.00
