Time,Read/s,Write/s,util%,cpu%
2023-05-01 23:35:20,0.00 , 13.00 , 0.00,10.84
2023-05-01 23:35:23,0.00 , 0.00 , 0.00,9.58
2023-05-01 23:35:25,0.00 , 0.00 , 0.00,10.04
2023-05-01 23:35:27,0.00 , 8.00 , 0.00,11.49
2023-05-01 23:35:29,0.00 , 2.00 , 0.00,10.73
2023-05-01 23:35:31,0.00 , 0.00 , 0.00,11.2
2023-05-01 23:35:33,0.00 , 0.00 , 0.00,10.73
2023-05-01 23:35:35,0.00 , 0.00 , 0.00,11.88
2023-05-01 23:35:37,0.00 , 7.00 , 0.00,11.97
2023-05-01 23:35:39,0.00 , 2.00 , 0.00,11.4
2023-05-01 23:35:41,0.00 , 25.00 , 0.00,11.65
2023-05-01 23:35:43,0.00 , 0.00 , 0.00,11.17
2023-05-01 23:35:45,0.00 , 0.00 , 0.00,10.88
2023-05-01 23:35:47,0.00 , 458.00 , 36.00,12.71
2023-05-01 23:35:49,0.00 , 2.00 , 0.00,11.17
2023-05-01 23:35:51,0.00 , 0.00 , 0.00,11.53
2023-05-01 23:35:53,0.00 , 0.00 , 0.00,10.68
2023-05-01 23:35:55,0.00 , 0.00 , 0.00,11.85
2023-05-01 23:35:57,0.00 , 22.00 , 0.00,11.28
2023-05-01 23:35:59,0.00 , 2.00 , 0.00,10.79
2023-05-01 23:36:01,0.00 , 0.00 , 0.00,10.03
2023-05-01 23:36:03,0.00 , 0.00 , 0.00,9.7
2023-05-01 23:36:05,0.00 , 0.00 , 0.00,11.23
2023-05-01 23:36:07,0.00 , 7.00 , 0.00,11.4
2023-05-01 23:36:09,0.00 , 2.00 , 0.00,10.79
2023-05-01 23:36:11,0.00 , 0.00 , 0.00,11.31
2023-05-01 23:36:13,0.00 , 55.00 , 0.00,11.16
2023-05-01 23:36:15,0.00 , 0.00 , 0.00,10.4
2023-05-01 23:36:17,0.00 , 8.00 , 0.00,13.94
2023-05-01 23:36:19,0.00 , 2.00 , 0.00,8.79
2023-05-01 23:36:21,0.00 , 0.00 , 0.00,4.5
2023-05-01 23:36:23,0.00 , 2.00 , 0.00,4.38
2023-05-01 23:36:25,0.00 , 0.00 , 0.00,4.26
