Time KB_Written
[2023-05-02 18:50:36] 567296
[2023-05-02 18:50:37] 926440
[2023-05-02 18:50:38] 0
[2023-05-02 18:50:39] 0
[2023-05-02 18:50:40] 0
[2023-05-02 18:50:41] 288
[2023-05-02 18:50:42] 0
[2023-05-02 18:50:43] 0
[2023-05-02 18:50:44] 0
[2023-05-02 18:50:45] 0
[2023-05-02 18:50:46] 320
[2023-05-02 18:50:47] 0
[2023-05-02 18:50:48] 0
[2023-05-02 18:50:49] 0
[2023-05-02 18:50:50] 0
[2023-05-02 18:50:51] 113568
[2023-05-02 18:50:52] 0
[2023-05-02 18:50:53] 0
[2023-05-02 18:50:54] 0
[2023-05-02 18:50:55] 0
[2023-05-02 18:50:56] 154964
[2023-05-02 18:50:57] 44936
[2023-05-02 18:50:58] 66060
[2023-05-02 18:50:59] 65980
[2023-05-02 18:51:00] 38912
[2023-05-02 18:51:01] 93592
[2023-05-02 18:51:02] 66012
[2023-05-02 18:51:03] 65984
[2023-05-02 18:51:04] 65984
[2023-05-02 18:51:05] 65984
[2023-05-02 18:51:06] 66080
[2023-05-02 18:51:07] 67232
[2023-05-02 18:51:08] 285492
[2023-05-02 18:51:09] 65988
[2023-05-02 18:51:10] 65988
[2023-05-02 18:51:11] 66084
[2023-05-02 18:51:12] 99436
[2023-05-02 18:51:13] 0
[2023-05-02 18:51:14] 65964
[2023-05-02 18:51:15] 94720
[2023-05-02 18:51:16] 191356
[2023-05-02 18:51:17] 277232
[2023-05-02 18:51:18] 65908
[2023-05-02 18:51:19] 65908
[2023-05-02 18:51:20] 22528
[2023-05-02 18:51:21] 109364
[2023-05-02 18:51:22] 220132
[2023-05-02 18:51:23] 108404
[2023-05-02 18:51:24] 42384
[2023-05-02 18:51:25] 84844
[2023-05-02 18:51:26] 42552
[2023-05-02 18:51:27] 85132
[2023-05-02 18:51:28] 42428
[2023-05-02 18:51:29] 220184
[2023-05-02 18:51:30] 131904
[2023-05-02 18:51:31] 132008
[2023-05-02 18:51:32] 308
[2023-05-02 18:51:33] 0
[2023-05-02 18:51:34] 0
