Time KB_Written
[2023-05-02 18:57:10] 56
[2023-05-02 18:57:11] 884
[2023-05-02 18:57:12] 0
[2023-05-02 18:57:13] 0
[2023-05-02 18:57:14] 0
[2023-05-02 18:57:15] 116
[2023-05-02 18:57:16] 276
[2023-05-02 18:57:17] 0
[2023-05-02 18:57:18] 0
[2023-05-02 18:57:19] 0
[2023-05-02 18:57:20] 72
[2023-05-02 18:57:21] 408
[2023-05-02 18:57:22] 0
[2023-05-02 18:57:23] 0
[2023-05-02 18:57:24] 0
[2023-05-02 18:57:25] 24
[2023-05-02 18:57:26] 124
[2023-05-02 18:57:27] 340
[2023-05-02 18:57:28] 0
[2023-05-02 18:57:29] 364
[2023-05-02 18:57:30] 0
[2023-05-02 18:57:31] 144
[2023-05-02 18:57:32] 4
[2023-05-02 18:57:33] 0
[2023-05-02 18:57:34] 60
[2023-05-02 18:57:35] 0
[2023-05-02 18:57:36] 152
[2023-05-02 18:57:37] 144
[2023-05-02 18:57:38] 0
[2023-05-02 18:57:39] 218136
[2023-05-02 18:57:40] 0
[2023-05-02 18:57:41] 256
[2023-05-02 18:57:42] 710908
[2023-05-02 18:57:43] 782344
[2023-05-02 18:57:44] 180
[2023-05-02 18:57:45] 0
[2023-05-02 18:57:46] 220156
[2023-05-02 18:57:47] 65992
[2023-05-02 18:57:48] 66260
[2023-05-02 18:57:49] 65984
[2023-05-02 18:57:50] 65980
[2023-05-02 18:57:51] 66268
[2023-05-02 18:57:52] 285728
[2023-05-02 18:57:53] 106960
[2023-05-02 18:57:54] 145568
[2023-05-02 18:57:55] 0
[2023-05-02 18:57:56] 408
[2023-05-02 18:57:57] 0
[2023-05-02 18:57:58] 202848
[2023-05-02 18:57:59] 20352
[2023-05-02 18:58:00] 128648
