Time, KB_Written
[2023-05-02 19:12:14] 1400071684
[2023-05-02 19:12:15] 104
[2023-05-02 19:12:16] 0
[2023-05-02 19:12:17] 68
[2023-05-02 19:12:18] 468
[2023-05-02 19:12:19] 0
[2023-05-02 19:12:20] 148
[2023-05-02 19:12:21] 0
[2023-05-02 19:12:22] 92
[2023-05-02 19:12:23] 284376
[2023-05-02 19:12:24] 31488
[2023-05-02 19:12:25] 132
[2023-05-02 19:12:26] 0
[2023-05-02 19:12:27] 84
[2023-05-02 19:12:28] 0
[2023-05-02 19:12:29] 653420
[2023-05-02 19:12:30] 524404
[2023-05-02 19:12:31] 0
[2023-05-02 19:12:32] 492
[2023-05-02 19:12:33] 0
[2023-05-02 19:12:34] 0
[2023-05-02 19:12:35] 96
[2023-05-02 19:12:36] 0
[2023-05-02 19:12:37] 56
[2023-05-02 19:12:38] 0
[2023-05-02 19:12:39] 0
[2023-05-02 19:12:40] 96
[2023-05-02 19:12:41] 0
[2023-05-02 19:12:42] 48
[2023-05-02 19:12:43] 219564
[2023-05-02 19:12:44] 32
[2023-05-02 19:12:45] 104
[2023-05-02 19:12:46] 0
[2023-05-02 19:12:47] 0
[2023-05-02 19:12:48] 0
[2023-05-02 19:12:49] 218996
[2023-05-02 19:12:50] 92
[2023-05-02 19:12:51] 65980
[2023-05-02 19:12:52] 65972
[2023-05-02 19:12:53] 86456
[2023-05-02 19:12:54] 111464
[2023-05-02 19:12:55] 132452
[2023-05-02 19:12:56] 369080
[2023-05-02 19:12:57] 35716
[2023-05-02 19:12:58] 0
[2023-05-02 19:12:59] 0
[2023-05-02 19:13:00] 100
[2023-05-02 19:13:01] 0
[2023-05-02 19:13:02] 180
[2023-05-02 19:13:03] 217284
[2023-05-02 19:13:04] 66004
[2023-05-02 19:13:05] 66080
[2023-05-02 19:13:06] 0
[2023-05-02 19:13:07] 268
