Time, KB_Written
[2023-05-02 18:25:20] 1244402688
[2023-05-02 18:25:21] 645092
[2023-05-02 18:25:22] 818128
[2023-05-02 18:25:23] 30700
[2023-05-02 18:25:24] 0
[2023-05-02 18:25:25] 0
[2023-05-02 18:25:26] 116
[2023-05-02 18:25:27] 264
[2023-05-02 18:25:28] 0
[2023-05-02 18:25:29] 0
[2023-05-02 18:25:30] 0
[2023-05-02 18:25:31] 68
[2023-05-02 18:25:32] 352
[2023-05-02 18:25:33] 0
[2023-05-02 18:25:34] 0
[2023-05-02 18:25:35] 0
[2023-05-02 18:25:36] 24
[2023-05-02 18:25:37] 172
[2023-05-02 18:25:38] 0
[2023-05-02 18:25:39] 0
[2023-05-02 18:25:40] 0
[2023-05-02 18:25:41] 108464
[2023-05-02 18:25:42] 53208
[2023-05-02 18:25:43] 32192
[2023-05-02 18:25:44] 99976
[2023-05-02 18:25:45] 65984
[2023-05-02 18:25:46] 84412
[2023-05-02 18:25:47] 114148
[2023-05-02 18:25:48] 79552
[2023-05-02 18:25:49] 118396
[2023-05-02 18:25:50] 65988
[2023-05-02 18:25:51] 61440
[2023-05-02 18:25:52] 70948
[2023-05-02 18:25:53] 65980
[2023-05-02 18:25:54] 131956
[2023-05-02 18:25:55] 99320
[2023-05-02 18:25:56] 283744
[2023-05-02 18:25:57] 62580
[2023-05-02 18:25:58] 70436
[2023-05-02 18:25:59] 65928
[2023-05-02 18:26:00] 65904
[2023-05-02 18:26:01] 65904
[2023-05-02 18:26:02] 278468
[2023-05-02 18:26:03] 0
[2023-05-02 18:26:04] 0
[2023-05-02 18:26:05] 141312
[2023-05-02 18:26:06] 131520
[2023-05-02 18:26:07] 56068
[2023-05-02 18:26:08] 111972
[2023-05-02 18:26:09] 95488
[2023-05-02 18:26:10] 36416
[2023-05-02 18:26:11] 131900
[2023-05-02 18:26:12] 131996
[2023-05-02 18:26:13] 99720
[2023-05-02 18:26:14] 65880
[2023-05-02 18:26:15] 281476
[2023-05-02 18:26:16] 66004
[2023-05-02 18:26:17] 67168
[2023-05-02 18:26:18] 24
[2023-05-02 18:26:19] 0
[2023-05-02 18:26:20] 0
[2023-05-02 18:26:21] 0
[2023-05-02 18:26:22] 1024
[2023-05-02 18:26:23] 8
[2023-05-02 18:26:24] 216628
[2023-05-02 18:26:25] 55708
[2023-05-02 18:26:26] 111368
[2023-05-02 18:26:27] 56044
[2023-05-02 18:26:28] 111804
[2023-05-02 18:26:29] 111388
[2023-05-02 18:26:30] 111360
[2023-05-02 18:26:31] 4
[2023-05-02 18:26:32] 1096
[2023-05-02 18:26:33] 500
[2023-05-02 18:26:34] 0
[2023-05-02 18:26:35] 0
