Time KB_Written
[2023-05-02 18:17:25] 144
[2023-05-02 18:17:26] 0
[2023-05-02 18:17:27] 0
[2023-05-02 18:17:28] 100
[2023-05-02 18:17:29] 468
[2023-05-02 18:17:30] 136
[2023-05-02 18:17:31] 0
[2023-05-02 18:17:32] 0
[2023-05-02 18:17:33] 64
[2023-05-02 18:17:34] 400
[2023-05-02 18:17:35] 4
[2023-05-02 18:17:36] 0
[2023-05-02 18:17:37] 0
[2023-05-02 18:17:38] 24
[2023-05-02 18:17:39] 160
[2023-05-02 18:17:40] 952
[2023-05-02 18:17:41] 0
[2023-05-02 18:17:42] 0
[2023-05-02 18:17:43] 0
[2023-05-02 18:17:44] 144
[2023-05-02 18:17:45] 88372
[2023-05-02 18:17:46] 428032
[2023-05-02 18:17:47] 0
[2023-05-02 18:17:48] 0
[2023-05-02 18:17:49] 104
[2023-05-02 18:17:50] 92
[2023-05-02 18:17:51] 446904
[2023-05-02 18:17:52] 864232
[2023-05-02 18:17:53] 0
[2023-05-02 18:17:54] 104
[2023-05-02 18:17:55] 112
[2023-05-02 18:17:56] 0
[2023-05-02 18:17:57] 0
[2023-05-02 18:17:58] 0
[2023-05-02 18:17:59] 208268
[2023-05-02 18:18:00] 28
[2023-05-02 18:18:01] 0
[2023-05-02 18:18:02] 0
[2023-05-02 18:18:03] 0
[2023-05-02 18:18:04] 252
[2023-05-02 18:18:05] 56
[2023-05-02 18:18:06] 0
[2023-05-02 18:18:07] 0
[2023-05-02 18:18:08] 0
[2023-05-02 18:18:09] 192
[2023-05-02 18:18:10] 44
[2023-05-02 18:18:11] 0
[2023-05-02 18:18:12] 0
[2023-05-02 18:18:13] 0
[2023-05-02 18:18:14] 104
[2023-05-02 18:18:15] 208572
[2023-05-02 18:18:16] 66008
[2023-05-02 18:18:17] 65972
[2023-05-02 18:18:18] 132200
[2023-05-02 18:18:19] 66076
[2023-05-02 18:18:20] 86044
[2023-05-02 18:18:21] 0
[2023-05-02 18:18:22] 0
[2023-05-02 18:18:23] 36
[2023-05-02 18:18:24] 724
[2023-05-02 18:18:25] 92
[2023-05-02 18:18:26] 0
[2023-05-02 18:18:27] 0
[2023-05-02 18:18:28] 668
[2023-05-02 18:18:29] 104
[2023-05-02 18:18:30] 53300
[2023-05-02 18:18:31] 152940
[2023-05-02 18:18:32] 0
[2023-05-02 18:18:33] 28
[2023-05-02 18:18:34] 96
[2023-05-02 18:18:35] 0
[2023-05-02 18:18:36] 60
[2023-05-02 18:18:37] 0
[2023-05-02 18:18:38] 4
[2023-05-02 18:18:39] 128
[2023-05-02 18:18:40] 0
[2023-05-02 18:18:41] 52
[2023-05-02 18:18:42] 0
[2023-05-02 18:18:43] 0
[2023-05-02 18:18:44] 136
[2023-05-02 18:18:45] 0
[2023-05-02 18:18:46] 205212
[2023-05-02 18:18:47] 66012
[2023-05-02 18:18:48] 66188
[2023-05-02 18:18:49] 66228
[2023-05-02 18:18:50] 8
[2023-05-02 18:18:51] 131948
[2023-05-02 18:18:52] 65976
[2023-05-02 18:18:53] 131952
[2023-05-02 18:18:54] 66660
[2023-05-02 18:18:55] 131952
[2023-05-02 18:18:56] 98704
[2023-05-02 18:18:57] 65948
[2023-05-02 18:18:58] 65904
[2023-05-02 18:18:59] 66068
[2023-05-02 18:19:00] 65904
