Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20230502 12:31:16.711 11 0 25 0 0 0 0 64 36 0 0 5650 13650 0 537 2 1.85 1.07 1.09 3 0
20230502 12:31:16.722 6 0 0 0 0 0 0 94 6 0 0 4182 9546 0 537 2 1.85 1.07 1.09 1 0
20230502 12:31:16.731 7 0 0 0 0 0 0 93 7 0 0 4778 8778 0 537 1 1.85 1.07 1.09 2 0
20230502 12:31:16.744 6 0 0 0 0 0 0 94 6 0 0 2615 9462 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.751 8 0 0 0 0 0 0 92 8 0 0 2714 11286 0 537 2 1.85 1.07 1.09 2 0
20230502 12:31:16.764 10 0 0 0 0 0 0 90 10 0 0 2462 9154 0 537 2 1.85 1.07 1.09 1 0
20230502 12:31:16.771 18 0 0 0 0 0 0 82 18 0 0 2857 6429 0 537 2 1.85 1.07 1.09 2 0
20230502 12:31:16.784 14 0 5 0 0 0 0 81 19 0 0 2923 8923 0 537 2 1.85 1.07 1.09 2 0
20230502 12:31:16.791 9 0 0 0 0 0 0 91 9 0 0 2571 11857 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.803 15 0 0 0 0 0 0 85 15 0 0 2917 8417 0 537 1 1.85 1.07 1.09 2 0
20230502 12:31:16.811 8 0 0 0 0 0 0 92 8 0 0 1875 7875 0 537 3 1.85 1.07 1.09 1 0
20230502 12:31:16.824 5 0 0 0 0 5 0 90 10 0 0 2923 9846 0 537 1 1.85 1.07 1.09 3 0
20230502 12:31:16.831 8 0 0 0 0 0 0 92 8 0 0 2571 9428 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.844 10 0 0 0 0 0 0 90 10 0 0 2385 8538 0 537 1 1.85 1.07 1.09 2 0
20230502 12:31:16.851 8 0 8 0 0 0 0 83 17 0 0 2714 8857 0 537 3 1.85 1.07 1.09 2 0
20230502 12:31:16.864 5 0 0 0 0 0 0 95 5 0 0 2462 8538 0 537 1 1.85 1.07 1.09 2 0
20230502 12:31:16.871 18 0 0 0 0 0 0 82 18 0 0 2286 8429 0 537 4 1.85 1.07 1.09 2 0
20230502 12:31:16.885 5 0 5 0 0 0 0 91 9 0 0 3929 9000 0 537 1 1.85 1.07 1.09 2 0
20230502 12:31:16.891 11 0 0 0 0 0 0 89 11 0 0 3000 9167 0 537 2 1.85 1.07 1.09 1 0
20230502 12:31:16.904 5 0 5 0 0 0 0 90 10 0 0 2538 8538 0 537 2 1.85 1.07 1.09 2 0
20230502 12:31:16.911 17 0 0 0 0 0 0 83 17 0 0 3143 8286 0 537 3 1.85 1.07 1.09 4 0
20230502 12:31:16.925 14 0 0 0 0 0 0 86 14 0 0 2286 6286 0 537 2 1.85 1.07 1.09 3 0
20230502 12:31:16.931 21 0 36 0 0 0 0 43 57 0 0 7833 38333 0 537 1 1.85 1.07 1.09 13 0
20230502 12:31:16.949 8 0 29 0 0 0 0 62 38 0 0 7222 31000 0 537 2 1.85 1.07 1.09 1 0
20230502 12:31:16.951 33 0 0 0 0 17 0 50 50 0 0 9000 10000 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.962 0 0 0 0 0 0 0 100 0 0 0 4091 8000 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.971 12 0 0 0 0 6 0 81 19 0 0 6444 8778 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.983 11 0 0 0 0 0 0 89 11 0 0 4417 8333 0 537 2 1.85 1.07 1.09 1 0
20230502 12:31:16.991 8 0 0 0 0 0 0 92 8 0 0 3500 8625 0 537 1 1.85 1.07 1.09 2 0
20230502 12:31:17.001 6 0 0 0 0 0 0 94 6 0 0 2900 7300 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:17.011 12 0 6 0 0 0 0 82 18 0 0 2900 7200 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:17.021 6 0 0 0 0 0 0 94 6 0 0 900 500 0 538 2 1.85 1.07 1.09 2 0
20230502 12:31:17.031 7 0 7 0 0 0 0 87 13 0 0 2800 5000 300 539 2 1.85 1.07 1.09 2 0
